BÀI 5: PHÂN TÍCH ĐÁNH GIÁ THEO OCCUPATION
================================================================================

--- ĐIỂM TRUNG BÌNH VÀ TỔNG SỐ LƯỢT ĐÁNH GIÁ THEO OCCUPATION ---
Occupation                             AvgRating      Count
--------------------------------------------------------------------------------
Programmer                                  4.25         10
Designer                                    4.00         13
Student                                     4.00          8
Nurse                                       3.86         11
Consultant                                  3.86         14
Journalist                                  3.85         17
Artist                                      3.73         11
Teacher                                     3.70          5
Doctor                                      3.69         21
Lawyer                                      3.65         17
Salesperson                                 3.65         17
Accountant                                  3.58          6
Engineer                                    3.56         18
Manager                                     3.47         16
